ED_CODE,ED_NAMEE,ED_NAMEF,POPULATION
59013,Kamloops--Thompson--Cariboo,Kamloops--Thompson--Cariboo,135492
59014,Kelowna--Lake Country,Kelowna--Lake Country,136290
59015,Kootenay--Columbia,Kootenay--Columbia,120759
59016,Langley--Aldergrove,Langley--Aldergrove,133168
59017,Mission--Matsqui--Fraser Canyon,Mission--Matsqui--Fraser Canyon,101216
59018,Nanaimo--Ladysmith,Nanaimo--Ladysmith,134509
59020,North Okanagan--Shuswap,North Okanagan--Shuswap,136520
59021,North Vancouver,North Vancouver,123025
59022,Pitt Meadows--Maple Ridge,Pitt Meadows--Maple Ridge,110416
59023,Port Moody--Coquitlam,Port Moody--Coquitlam,114853
59026,Esquimalt--Saanich--Sooke,Esquimalt--Saanich--Sooke,128644
59027,Saanich--Gulf Islands,Saanich--Gulf Islands,113541
59028,Skeena--Bulkley Valley,Skeena--Bulkley Valley,89689
59029,South Okanagan--West Kootenay,Okanagan-Sud--Kootenay-Ouest,123487
59030,South Surrey--White Rock,Surrey-Sud--White Rock,119672
59037,North Island--Powell River,North Island--Powell River,111825
59039,Vancouver Quadra,Vancouver Quadra,109328
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,West Vancouver--Sunshine Coast--Sea to Sky Country,131206
61001,Northwest Territories,Territoires du Nord-Ouest,41070
